+-------+-----+------+-----+-----+-----+--------+--------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                 URI                  |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
| 47    | 0   | 47   | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/enter         | 0.004  | 0.324  | 2.460   | 0.052  | 0.112  | 0.148  | 0.324  | 0.059  | 0.000     | 0.000      | 0.000         | 0.000     |
| 37    | 0   | 37   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit          | 0.004  | 0.160  | 1.780   | 0.048  | 0.132  | 0.156  | 0.160  | 0.047  | 0.000     | 0.000      | 0.000         | 0.000     |
| 90    | 0   | 90   | 0   | 0   | 0   | GET    | /api/tag                             | 0.012  | 0.228  | 4.292   | 0.048  | 0.120  | 0.136  | 0.228  | 0.047  | 6089.000  | 6095.000   | 548376.000    | 6093.067  |
| 252   | 0   | 249  | 0   | 3   | 0   | POST   | /api/login                           | 0.004  | 0.492  | 11.073  | 0.044  | 0.108  | 0.192  | 0.284  | 0.063  | 0.000     | 64.000     | 128.000       | 0.508     |
| 4151  | 0   | 4149 | 0   | 2   | 0   | GET    | /api/user/[A-Za-z0-9]+/icon          | 0.004  | 0.700  | 181.292 | 0.044  | 0.112  | 0.156  | 0.292  | 0.058  | 0.000     | 171848.000 | 214039078.000 | 51563.257 |
| 38    | 0   | 38   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords       | 0.004  | 0.260  | 1.428   | 0.038  | 0.100  | 0.160  | 0.260  | 0.049  | 5.000     | 134.000    | 817.000       | 21.500    |
| 10    | 0   | 10   | 0   | 0   | 0   | GET    | /api/user/[A-Za-z0-9]+/theme         | 0.004  | 0.064  | 0.316   | 0.032  | 0.056  | 0.064  | 0.064  | 0.020  | 35.000    | 35.000     | 350.000       | 35.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/livestream/7497                 | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1462.000  | 1462.000   | 1462.000      | 1462.000  |
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /api/user/me                         | 0.000  | 0.004  | 0.008   | 0.003  | 0.004  | 0.004  | 0.004  | 0.002  | 235.000   | 247.000    | 729.000       | 243.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/test                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 235.000   | 235.000    | 235.000       | 235.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/payment                         | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 21.000    | 21.000     | 21.000        | 21.000    |
+-------+-----+------+-----+-----+-----+--------+--------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
