+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 243   | 0   | 235  | 0   | 8   | 0   | POST   | /api/livestream/[0-9]+/livecomment | 0.004  | 1.240  | 59.120  | 0.243  | 0.412  | 0.508  | 0.828  | 0.161  | 0.000     | 2727.000   | 475870.000   | 1958.313  |
| 25    | 0   | 25   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/report      | 0.004  | 1.076  | 4.744   | 0.190  | 0.464  | 0.540  | 1.076  | 0.235  | 3.000     | 8212.000   | 46717.000    | 1868.680  |
| 178   | 0   | 177  | 0   | 1   | 0   | POST   | /api/livestream/[0-9]+/reaction    | 0.008  | 1.528  | 33.108  | 0.186  | 0.376  | 0.516  | 0.832  | 0.178  | 0.000     | 2226.000   | 323502.000   | 1817.427  |
| 14    | 0   | 14   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit        | 0.004  | 0.536  | 2.516   | 0.180  | 0.484  | 0.536  | 0.536  | 0.191  | 0.000     | 0.000      | 0.000        | 0.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords     | 0.004  | 0.648  | 3.524   | 0.176  | 0.296  | 0.612  | 0.648  | 0.166  | 5.000     | 140.000    | 235.000      | 11.750    |
| 180   | 0   | 179  | 0   | 1   | 0   | POST   | /api/icon                          | 0.008  | 1.484  | 29.844  | 0.166  | 0.340  | 0.524  | 0.968  | 0.189  | 0.000     | 16.000     | 2756.000     | 15.311    |
| 55    | 0   | 55   | 0   | 0   | 0   | GET    | /api/livestream                    | 0.012  | 0.476  | 7.212   | 0.131  | 0.296  | 0.368  | 0.476  | 0.114  | 3.000     | 22700.000  | 106396.000   | 1934.473  |
| 188   | 0   | 186  | 0   | 2   | 0   | POST   | /api/login                         | 0.004  | 1.368  | 22.204  | 0.118  | 0.364  | 0.504  | 1.364  | 0.219  | 0.000     | 64.000     | 128.000      | 0.681     |
| 5     | 0   | 5    | 0   | 0   | 0   | GET    | /api/user/[A-Za-z0-9]+/theme       | 0.016  | 0.324  | 0.580   | 0.116  | 0.324  | 0.324  | 0.324  | 0.117  | 38.000    | 38.000     | 190.000      | 38.000    |
| 1696  | 0   | 1691 | 0   | 5   | 0   | GET    | /api/user/[A-Za-z0-9]+/icon        | 0.004  | 1.056  | 169.708 | 0.100  | 0.252  | 0.376  | 0.704  | 0.136  | 0.000     | 171800.000 | 81051759.000 | 47789.952 |
| 72    | 0   | 72   | 0   | 0   | 0   | GET    | /api/tag                           | 0.004  | 0.524  | 7.036   | 0.098  | 0.248  | 0.288  | 0.524  | 0.107  | 6089.000  | 6095.000   | 438684.000   | 6092.833  |
| 23    | 0   | 23   | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/enter       | 0.004  | 0.400  | 2.104   | 0.091  | 0.252  | 0.256  | 0.400  | 0.106  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/livestream/7497               | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1480.000  | 1480.000   | 1480.000     | 1480.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/test                     | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 235.000   | 235.000    | 235.000      | 235.000   |
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /api/user/me                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 235.000   | 247.000    | 729.000      | 243.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/payment                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 21.000    | 21.000     | 21.000       | 21.000    |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
