+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
| 317   | 0   | 308  | 0   | 9   | 0   | POST   | /api/livestream/[0-9]+/livecomment | 0.004  | 0.980  | 64.772  | 0.204  | 0.328  | 0.420  | 0.676  | 0.121  | 0.000     | 2665.000   | 616810.000    | 1945.773  |
| 103   | 0   | 103  | 0   | 0   | 0   | GET    | /api/livestream                    | 0.012  | 0.572  | 17.220  | 0.167  | 0.376  | 0.464  | 0.516  | 0.131  | 3.000     | 22522.000  | 147603.000    | 1433.039  |
| 234   | 0   | 234  | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/reaction    | 0.008  | 0.792  | 34.452  | 0.147  | 0.284  | 0.424  | 0.692  | 0.124  | 1552.000  | 2215.000   | 428605.000    | 1831.645  |
| 217   | 0   | 214  | 0   | 1   | 2   | POST   | /api/icon                          | 0.008  | 0.732  | 29.556  | 0.136  | 0.288  | 0.448  | 0.684  | 0.144  | 0.000     | 154.000    | 3626.000      | 16.710    |
| 47    | 0   | 47   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords     | 0.008  | 0.368  | 6.364   | 0.135  | 0.268  | 0.300  | 0.368  | 0.085  | 5.000     | 271.000    | 1917.000      | 40.787    |
| 69    | 0   | 66   | 0   | 0   | 3   | GET    | /api/livestream/[0-9]+/report      | 0.004  | 0.628  | 7.892   | 0.114  | 0.356  | 0.464  | 0.628  | 0.150  | 3.000     | 19125.000  | 77404.000     | 1121.797  |
| 27    | 0   | 27   | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/enter       | 0.004  | 0.404  | 2.708   | 0.100  | 0.316  | 0.344  | 0.404  | 0.118  | 0.000     | 0.000      | 0.000         | 0.000     |
| 76    | 0   | 76   | 0   | 0   | 0   | GET    | /api/tag                           | 0.012  | 0.620  | 5.812   | 0.076  | 0.224  | 0.376  | 0.620  | 0.115  | 6089.000  | 6095.000   | 463028.000    | 6092.474  |
| 2154  | 0   | 2151 | 0   | 3   | 0   | GET    | /api/user/[A-Za-z0-9]+/icon        | 0.004  | 1.108  | 149.080 | 0.069  | 0.184  | 0.268  | 0.488  | 0.103  | 0.000     | 98072.000  | 106197659.000 | 49302.534 |
| 226   | 0   | 224  | 0   | 2   | 0   | POST   | /api/login                         | 0.004  | 0.648  | 15.152  | 0.067  | 0.184  | 0.244  | 0.508  | 0.099  | 0.000     | 64.000     | 128.000       | 0.566     |
| 18    | 0   | 18   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit        | 0.004  | 0.288  | 1.068   | 0.059  | 0.132  | 0.288  | 0.288  | 0.066  | 0.000     | 0.000      | 0.000         | 0.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | GET    | /api/user/[A-Za-z0-9]+/theme       | 0.016  | 0.160  | 0.256   | 0.051  | 0.160  | 0.160  | 0.160  | 0.057  | 38.000    | 38.000     | 190.000       | 38.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/livestream/7497               | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1472.000  | 1472.000   | 1472.000      | 1472.000  |
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /api/user/me                       | 0.000  | 0.004  | 0.004   | 0.001  | 0.004  | 0.004  | 0.004  | 0.002  | 235.000   | 247.000    | 729.000       | 243.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/test                     | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 235.000   | 235.000    | 235.000       | 235.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/payment                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 21.000    | 21.000     | 21.000        | 21.000    |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
